"State","Food","Toys and Treats","Medical","Household Items","Grooming","Total cost"
"Alabama","$1,304","$417","$839","$63","$264","$2,887"
"Arizona","$1,207","$676","$896","$110","$389","$3,278"
"Arkansas","$1,290","$312","$909","$126","$488","$3,126"
"California","$2,272","$1,003","$1,298","$701","$1,223","$6,497"
"Colorado","$2,072","$312","$1,246","$590","$1,143","$5,362"
"Connecticut","$2,009","$202","$1,214","$567","$1,079","$5,071"
"Delaware","$1,544","$586","$983","$217","$652","$3,981"
"Florida","$1,718","$372","$1,067","$353","$785","$4,295"
"Georgia","$1,088","$197","$853","$72","$266","$2,476"
"Idaho","$1,346","$551","$911","$143","$506","$3,458"
"Illinois","$2,086","$423","$1,259","$613","$1,150","$5,531"
"Indiana","$1,375","$235","$932","$161","$523","$3,225"
"Iowa","$1,812","$392","$1,119","$428","$903","$4,653"
"Kansas","$1,553","$577","$987","$227","$673","$4,017"
"Kentucky","$1,103","$471","$871","$101","$323","$2,869"
"Louisiana","$1,549","$136","$986","$226","$665","$3,562"
"Maine","$1,905","$844","$1,135","$440","$976","$5,299"
"Maryland","$1,733","$893","$1,070","$357","$790","$4,844"
"Massachusetts","$2,098","$792","$1,261","$637","$1,167","$5,956"
"Michigan","$2,004","$546","$1,206","$551","$1,074","$5,381"
"Minnesota","$1,818","$876","$1,122","$432","$932","$5,179"
"Mississippi","$1,173","$690","$889","$108","$383","$3,244"
"Missouri","$1,440","$876","$968","$183","$601","$4,068"
"Montana","$1,713","$843","$1,060","$338","$778","$4,732"
"Nebraska","$1,627","$253","$1,048","$283","$778","$3,988"
"Nevada","$1,444","$529","$970","$184","$608","$3,735"
"New Hampshire","$1,952","$742","$1,177","$507","$1,020","$5,399"
"New Jersey","$1,931","$742","$1,177","$456","$996","$5,302"
"New Mexico","$1,352","$808","$911","$146","$509","$3,727"
"New York","$2,167","$872","$1,283","$675","$1,182","$6,179"
"North Carolina","$1,438","$215","$958","$177","$586","$3,374"
"North Dakota","$1,586","$366","$989","$232","$736","$3,909"
"Ohio","$1,758","$730","$1,074","$375","$829","$4,766"
"Oklahoma","$1,092","$332","$858","$78","$275","$2,636"
"Oregon","$2,131","$889","$1,273","$665","$1,181","$6,139"
"Pennsylvania","$1,906","$833","$1,168","$449","$988","$5,343"
"Rhode Island","$1,889","$640","$1,124","$433","$954","$5,039"
"South Carolina","$1,399","$274","$957","$164","$529","$3,323"
"South Dakota","$1,772","$955","$1,098","$385","$891","$5,100"
"Tennessee","$1,116","$593","$888","$108","$355","$3,060"
"Texas","$1,996","$673","$1,190","$528","$1,068","$5,456"
"Utah","$1,621","$321","$1,013","$235","$772","$3,962"
"Vermont","$1,977","$778","$1,178","$516","$1,030","$5,478"
"Virginia","$1,801","$401","$1,099","$417","$893","$4,611"
"Washington","$2,128","$145","$1,262","$652","$1,176","$5,363"
"West Virginia","$1,753","$777","$1,071","$365","$803","$4,769"
"Wisconsin","$1,809","$476","$1,117","$417","$898","$4,717"
"Wyoming","$1,229","$497","$906","$126","$445","$3,203"
